"","year","accomplishment","person","gender","category","female","row_num","p_count","p_flag","person_c"
"398",2000,"First African-American to be inducted into the Country Music Hall of Fame","Charley Pride","African-American Firsts","Arts & Entertainment",0,398,0,0,"Charley Pride"
"399",2001,"First African-American Secretary of State","Colin Powell","African-American Firsts","Politics",0,399,0,0,"Colin Powell"
"400",2001,"First African-American president of the United States Conference of Catholic Bishops","The Most Reverend Wilton Daniel Gregory","African-American Firsts","Religion",0,400,0,0,"The Most Reverend Wilton Daniel Gregory"
"401",2001,"First African-American president of the Unitarian Universalist Association","Rev. William G. Sinkford","African-American Firsts","Politics",0,401,2,0,"Rev. William G. Sinkford"
"402",2001,"First African-American president of an Ivy League university","Ruth J. Simmons at Brown University","African-American Firsts","Education & Science",0,402,1,0,"Ruth J. Simmons at Brown University"
"403",2001,"First African-American woman to win the ASCAP Pop Music Songwriter of the Year award","Beyoncé Knowles","Female African American Firsts","Arts & Entertainment",1,403,0,0,"Beyoncé Knowles"
"404",2001,"First African-American woman National Security Advisor","Condoleezza Rice","Female African American Firsts","Politics",1,404,0,0,"Condoleezza Rice"
"405",2001,"First African-American billionaire","Robert L. Johnson, founder of Black Entertainment Television","African-American Firsts","Social & Jobs",0,405,1,0,"Robert L. Johnson, founder of Black Entertainment Television"
"406",2001,"First African-American woman billionaire","Sheila Johnson","Female African American Firsts","Social & Jobs",1,406,0,0,"Sheila Johnson"
"407",2002,"First African-American to become majority owner of a U.S. major sports league team","Robert L. Johnson","African-American Firsts","Social & Jobs",0,407,1,0,"Robert L. Johnson"
"408",2002,"First African-American woman combat pilot in the U.S. Armed Services","Captain Vernice Armour, USMC","Female African American Firsts","Social & Jobs",1,408,0,0,"Captain Vernice Armour, USMC"
"409",2002,"First African-American to be ranked #1 in tennis","Venus Williams","African-American Firsts","Sports",0,409,0,0,"Venus Williams"
"410",2002,"First African-American to be named year-end world champion by the International Tennis Federation","Serena Williams","African-American Firsts","Education & Science",0,410,0,0,"Serena Williams"
"411",2002,"First African-American Arena Football League head coach to win ArenaBowl","Darren Arbet","African-American Firsts","Sports",0,411,0,0,"Darren Arbet"
"412",2002,"First African-American general manager in the National Football League","Ozzie Newsome","African-American Firsts","Military",0,412,0,0,"Ozzie Newsome"
"413",2002,"First African-American woman to win the Academy Award for Best Actress","Halle Berry","Female African American Firsts","Arts & Entertainment",1,413,0,0,"Halle Berry"
"414",2003,"First African-American to win a Career Grand Slam in tennis","Serena Williams","African-American Firsts","Sports",0,414,0,0,"Serena Williams"
"415",2003,"First African-American American Bar Association president","Dennis Archer","African-American Firsts","Law",0,415,0,0,"Dennis Archer"
"416",2004,"First African-American to win Broadway theater's Tony Award for Best Lead Actress in a Play","Phylicia Rashad","African-American Firsts","Arts & Entertainment",0,416,0,0,"Phylicia Rashad"
"417",2004,"First African-American inducted into the World Golf Hall of Fame","Charlie Sifford","African-American Firsts","Sports",0,417,0,0,"Charlie Sifford"
"418",2005,"First African-American woman Secretary of State","Condoleezza Rice","Female African American Firsts","Politics",1,418,0,0,"Condoleezza Rice"
"419",2005,"First African-American woman U.S. Coast Guard aviator","Jeanine Menze","Female African American Firsts","Politics",1,419,0,0,"Jeanine Menze"
"420",2006,"First African-American to command a United States Marine Corps division","Major General Walter E. Gaskin","African-American Firsts","Military",0,420,1,0,"Major General Walter E. Gaskin"
"421",2006,"First African-American to reach the peak of Mount Everest","Sophia Danenberg","African-American Firsts","Social & Jobs",0,421,0,0,"Sophia Danenberg"
"422",2006,"First African-American woman to receive Dharma transmission in Zen Buddhism","Merle Kodo Boyd","Female African American Firsts","Religion",1,422,0,0,"Merle Kodo Boyd"
"423",2006,"First African-American Quarterback inducted into the Pro Football Hall of Fame","Warren Moon","African-American Firsts","Sports",0,423,0,0,"Warren Moon"
"424",2007,"First known African-American woman to reach the North Pole","Barbara Hillary","Female African American Firsts","Social & Jobs",1,424,0,0,"Barbara Hillary"
"425",2007,"First African-American White House Chief Usher","Stephen Rochon","Female African American Firsts","Politics",1,425,0,0,"Stephen Rochon"
"426",2007,"First African-American NFL coach to win a Super Bowl","Tony Dungy","African-American Firsts","Sports",0,426,0,0,"Tony Dungy"
"427",2008,"First African-American to be nominated as a major-party U.S. presidential candidate","Barack Obama, Democratic Party","African-American Firsts","Politics",0,427,0,0,"Barack Obama, Democratic Party"
"428",2008,"First African-American elected President of the United States","Barack Obama","African-American Firsts","Politics",0,428,0,0,"Barack Obama"
"429",2008,"First African-American to referee a Super Bowl game","Mike Carey","African-American Firsts","Sports",0,429,0,0,"Mike Carey"
"430",2008,"First African-American woman elected Speaker of a state House of Representatives","California Rep. Karen Bass","Female African American Firsts","Politics",1,430,1,0,"California Rep. Karen Bass"
"431",2008,"First African-American to be appointed to the United States Senate by a state governor","Roland Burris","African-American Firsts","Politics",0,431,0,0,"Roland Burris"
"432",2008,"First African-American woman combat pilot in the United States Air Force","Major Shawna Rochelle Kimbrell","Female African American Firsts","Military",1,432,0,0,"Major Shawna Rochelle Kimbrell"
"433",2009,"First African-American First Lady of the United States","Michelle Obama","African-American Firsts","Politics",0,433,0,0,"Michelle Obama"
"434",2009,"First African-American chair of the Republican National Committee","Michael Steele","African-American Firsts","Politics",0,434,0,0,"Michael Steele"
"435",2009,"First African-American United States Attorney General","Eric Holder","African-American Firsts","Military",0,435,0,0,"Eric Holder"
"436",2009,"First African-American woman United States Ambassador to the United Nations","Susan Rice","Female African American Firsts","Education & Science",1,436,0,0,"Susan Rice"
"437",2009,"First African-American United States Trade Representative","Ron Kirk","African-American Firsts","Politics",0,437,0,0,"Ron Kirk"
"438",2009,"First African-American woman Administrator of the Environmental Protection Agency","Lisa P. Jackson","Female African American Firsts","Politics",1,438,1,0,"Lisa P. Jackson"
"439",2009,"First African-American White House Social Secretary","Desirée Rogers","African-American Firsts","Politics",0,439,0,0,"Desirée Rogers"
"440",2009,"First African-American to appear by himself on a circulating U.S. coin","Duke Ellington","African-American Firsts","Social & Jobs",0,440,0,0,"Duke Ellington"
"441",2009,"First African-American to win the Pulitzer Prize for History","Annette Gordon-Reed, The Hemingses of Monticello","African-American Firsts","Arts & Entertainment",0,441,0,0,"Annette Gordon-Reed, The Hemingses of Monticello"
"442",2009,"First African-American Administrator of the National Aeronautics and Space Administration","Charles F. Bolden Jr","African-American Firsts","Education & Science",0,442,2,1,"Charles F. Bolden Jr."
"443",2009,"First African-American woman rabbi","Alysa Stanton","Female African American Firsts","Religion",1,443,0,0,"Alysa Stanton"
"444",2009,"First African-American woman CEO of a Fortune 500 company","Ursula Burns, Xerox Corporation","Female African American Firsts","Social & Jobs",1,444,1,0,"Ursula Burns, Xerox Corporation"
"445",2009,"First African-American doubles team to be named year-end world champion by the International Tennis Federation","Serena and Venus Williams","African-American Firsts","Education & Science",0,445,0,0,"Serena and Venus Williams"
"446",2010,"First African-American to win Stanley Cup","Dustin Byfuglien with Chicago Blackhawks","African-American Firsts","Sports",0,446,1,0,"Dustin Byfuglien with Chicago Blackhawks"
"447",2011,"First African-American Director of the Federal Bureau of Prisons","Charles E. Samuels Jr","African-American Firsts","Military",0,447,2,1,"Charles E. Samuels Jr."
"448",2011,"First African-American admitted to the Reconstructionist Rabbinical College","Sandra Lawson","African-American Firsts","Religion",0,448,0,0,"Sandra Lawson"
"449",2012,"First African-American to be re-elected President of the United States","Barack Obama","African-American Firsts","Politics",0,449,0,0,"Barack Obama"
"450",2012,"First African-American Combatant Commander of United States Central Command","Lloyd Austin","African-American Firsts","Military",0,450,0,0,"Lloyd Austin"
"451",2012,"First African-American elected president of the Southern Baptist Convention ","Fred Luter","Female African American Firsts","Politics",1,451,0,0,"Fred Luter"
"452",2012,"First African-American to direct an animated film with a budget in excess of $100 million","Peter Ramsey","African-American Firsts","Social & Jobs",0,452,0,0,"Peter Ramsey"
"453",2013,"First African-American U.S. Senator from the former Confederacy since Reconstruction","Tim Scott","African-American Firsts","Politics",0,453,0,0,"Tim Scott"
"454",2013,"First African-American president of the Academy of Motion Picture Arts and Sciences","Cheryl Boone Isaacs","African-American Firsts","Arts & Entertainment",0,454,0,0,"Cheryl Boone Isaacs"
"455",2013,"First African-American United States Secretary of Homeland Security","Jeh Johnson","African-American Firsts","Politics",0,455,0,0,"Jeh Johnson"
"456",2014,"First African-American woman four-star admiral","Michelle J. Howard","Female African American Firsts","Military",1,456,1,0,"Michelle J. Howard"
"457",2014,"First African-American senator to be elected in the South since Reconstruction","Tim Scott, elected in South Carolina","African-American Firsts","Politics",0,457,0,0,"Tim Scott, elected in South Carolina"
"458",2014,"First African-American woman to be nominated for Best Director by the Golden Globe Awards","Ava DuVernay for Selma","Female African American Firsts","Arts & Entertainment",1,458,0,0,"Ava DuVernay for Selma"
"459",2015,"First African-American woman Attorney General of the United States","Loretta Lynch","Female African American Firsts","Military",1,459,0,0,"Loretta Lynch"
"460",2015,"First African-American to lead a major intelligence agency","Vincent R. Stewart, Defense Intelligence Agency","African-American Firsts","Politics",0,460,1,0,"Vincent R. Stewart, Defense Intelligence Agency"
"461",2015,"First African-American to be inducted into the NASCAR Hall of Fame","Wendell Scott","African-American Firsts","Sports",0,461,0,0,"Wendell Scott"
"462",2015,"First African-American commissioner of a major North American sports league","Jeffrey Orridge, Canadian Football League","African-American Firsts","Politics",0,462,0,0,"Jeffrey Orridge, Canadian Football League"
"463",2015,"First African-American elected as presiding bishop of the Episcopal Church","Bishop Michael Curry","African-American Firsts","Religion",0,463,0,0,"Bishop Michael Curry"
"464",2015,"First African-American woman American Bar Association president","Paulette Brown","Female African American Firsts","Law",1,464,0,0,"Paulette Brown"
"465",2016,"First African-American president of a major broadcast TV network","Channing Dungey","African-American Firsts","Arts & Entertainment",0,465,0,0,"Channing Dungey"
"466",2016,"First African-American Librarian of Congress","Dr. Carla Hayden","African-American Firsts","Education & Science",0,466,1,0,"Dr. Carla Hayden"
"467",2017,"First African-American CEO of a Major League Baseball team","Derek Jeter","African-American Firsts","Social & Jobs",0,467,0,0,"Derek Jeter"
"468",2018,"First African-American artist commissioned for US president portrait to be displayed in the Smithsonian","Kehinde Wiley","African-American Firsts","Arts & Entertainment",0,468,0,0,"Kehinde Wiley"
"469",2018,"First African-American artist commissioned for US first-lady portrait to be displayed in the Smithsonian","Amy Sherald","African-American Firsts","Arts & Entertainment",0,469,0,0,"Amy Sherald"
"470",2018,"First African-American president of the American Psychiatric Association","Altha Stewart","African-American Firsts","Politics",0,470,0,0,"Altha Stewart"
"471",2018,"First African-American woman to be major party nominee for state governor","Stacey Abrams","Female African American Firsts","Politics",1,471,0,0,"Stacey Abrams"
"472",2018,"First African-American superintendent of the United States Military Academy","Darryl A. Williams","African-American Firsts","Military",0,472,1,0,"Darryl A. Williams"
"473",2018,"First African-American woman U.S. Marine Corps general officer","Lorna Mahlock","Female African American Firsts","Military",1,473,0,0,"Lorna Mahlock"
"474",2019,"First African-American to win an Academy Award for Best Costume Design","Ruth E. Carter for Black Panther","African-American Firsts","Arts & Entertainment",0,474,1,0,"Ruth E. Carter for Black Panther"
"475",2019,"First African-American to win an Academy Award for Best Production Design","Hannah Beachler for Black Panther","African-American Firsts","Arts & Entertainment",0,475,0,0,"Hannah Beachler for Black Panther"
"476",2019,"First member of the British royal family of African-American descent by birth","Archie Mountbatten-Windsor","African-American Firsts","Social & Jobs",0,476,0,0,"Archie Mountbatten-Windsor"
"477",2019,"First African-American secretary of the Smithsonian Institution","Lonnie Bunch","African-American Firsts","Arts & Entertainment",0,477,0,0,"Lonnie Bunch"
"478",2019,"First African-American female director of an Association of Zoos and Aquariums-accredited institution","Denise Verret","Female African American Firsts","Arts & Entertainment",1,478,0,0,"Denise Verret"
"479",2019,"First African-American full-time curator at the Guggenheim","Ashley James","African-American Firsts","Arts & Entertainment",0,479,1,0,"Ashley James"
