"","year","accomplishment","person","gender","category","female","row_num","p_count","p_flag","person_c"
"255",1968,"Best total drama interracial kiss on a network television drama","Uhura, played by Nichelle Nichols","African-American Firsts","Arts & Entertainment",0,255,0,0,"Uhura, played by Nichelle Nichols"
"256",1968,"First African-American woman elected to U.S. House of Representatives","Shirley Chisholm","Female African American Firsts","Politics",1,256,0,0,"Shirley Chisholm"
"257",1968,"First African-American appointed as a United States Assistant Secretary of State","Barbara M. Watson","African-American Firsts","Politics",0,257,1,0,"Barbara M. Watson"
"258",1968,"First African-American to start at quarterback in the modern era of professional football","Marlin Briscoe","African-American Firsts","Education & Science",0,258,0,0,"Marlin Briscoe"
"259",1968,"First African-American commissioned officer awarded the Medal of Honor","Riley L. Pitts","African-American Firsts","Military",0,259,1,0,"Riley L. Pitts"
"260",1968,"First fine-arts museum devoted to African-American work","Studio Museum in Harlem","African-American Firsts","Social & Jobs",0,260,0,0,"Studio Museum in Harlem"
"261",1968,"First African-American actress to star in her own television series where she did not play a domestic worker","Diahann Carroll in Julia","Female African American Firsts","Arts & Entertainment",1,261,0,0,"Diahann Carroll in Julia"
"262",1968,"First African-American woman as Presidential candidate","Charlene Mitchell","Female African American Firsts","Politics",1,262,0,0,"Charlene Mitchell"
"263",1968,"First African-American woman reporter for The New York Times","Nancy Hicks Maynard","Female African American Firsts","Social & Jobs",1,263,0,0,"Nancy Hicks Maynard"
"264",1968,"First African-American starring character of a comic strip","Danny Raven in Dateline","African-American Firsts","Arts & Entertainment",0,264,0,0,"Danny Raven in Dateline"
"265",1968,"First African-American actor to star in the lead role on a TV western series","Otis Young in The Outcasts","African-American Firsts","Arts & Entertainment",0,265,0,0,"Otis Young in The Outcasts"
"266",1969,"First African-American superhero","The Falcon, Marvel Comics' Captain America #117","Female African American Firsts","Arts & Entertainment",1,266,0,0,"The Falcon, Marvel Comics' Captain America #117"
"267",1969,"First African-American graduate of Harvard Business School","Lillian Lincoln","African-American Firsts","Education & Science",0,267,0,0,"Lillian Lincoln"
"268",1969,"First African-American director of a major Hollywood motion picture","Gordon Parks","African-American Firsts","Arts & Entertainment",0,268,0,0,"Gordon Parks"
"269",1969,"First African-American founder of a classical training school and company of ballet","Arthur Mitchell, Dance Theatre of Harlem","African-American Firsts","Education & Science",0,269,0,0,"Arthur Mitchell, Dance Theatre of Harlem"
"270",1969,"First African-American woman to appear on the Grand Ole Opry","Linda Martell","Female African American Firsts","Arts & Entertainment",1,270,0,0,"Linda Martell"
"271",1969,"First African-American to own a commercial airliner","Warren Wheeler","African-American Firsts","Social & Jobs",0,271,0,0,"Warren Wheeler"
"272",1970,"First African-American woman to win a Primetime Emmy Award","Gail Fisher, for Outstanding Supporting Actress in a Drama Series, for Mannix","Female African American Firsts","Arts & Entertainment",1,272,0,0,"Gail Fisher, for Outstanding Supporting Actress in a Drama Series, for Mannix"
"273",1970,"First African-American to head an Episcopal diocese","John Melville Burgess, diocesan bishop of Massachusetts","African-American Firsts","Religion",0,273,0,0,"John Melville Burgess, diocesan bishop of Massachusetts"
"274",1970,"First African-American U.S. Navy Master Diver","Carl Brashear","African-American Firsts","Military",0,274,0,0,"Carl Brashear"
"275",1970,"First African-American member of the New York Stock Exchange","Joseph L. Searles III","African-American Firsts","Social & Jobs",0,275,1,0,"Joseph L. Searles III"
"276",1970,"First African-American NCAA Division I basketball coach","Will Robinson","African-American Firsts","Education & Science",0,276,0,0,"Will Robinson"
"277",1970,"First African-American contestant in the Miss America pageant","Cheryl Browne","African-American Firsts","Social & Jobs",0,277,0,0,"Cheryl Browne"
"278",1971,"First African-American pitcher to be inducted into the Baseball Hall of Fame","Satchel Paige","Female African American Firsts","Education & Science",1,278,0,0,"Satchel Paige"
"279",1971,"First African-American president of the New York City Board of Education","Isaiah Edward Robinson Jr","African-American Firsts","Education & Science",0,279,1,1,"Isaiah Edward Robinson Jr."
"280",1971,"First African-American to win a Golden Globe Award","Gail Fisher for Mannix","African-American Firsts","Arts & Entertainment",0,280,0,0,"Gail Fisher for Mannix"
"281",1971,"First African-American female jockey in the United States","Cheryl White","Female African American Firsts","Politics",1,281,0,0,"Cheryl White"
